trophic_group,microbes,micro-food web microbivores,micro-food web carnivores,macro-food web detritivores,macro-food web carnivores,trophic whales,bacteria,fungi
trophic_type,microbes,microbivores,carnivores,detritivores,carnivores,detritivores,microbes,microbes
recycling,1,1,1,0,0,0,1,1
population_structure,unstructured,unstructured,unstructured,unstructured,unstructured,unstructured,unstructured,unstructured
n_mass,10,4,9,24,15,9,0,0
logmass_min,-9,-7,-6,-7,-3,1,-9,-9
logmass_max,-9,-6,-3,1,2,4,-9,-9
n_CN,1,1,1,1,1,1,0,0
CN_min,4,4,4,4,4,4,2,6
CN_max,6,6,6,6,6,6,7,12
CN_sigma,4.25,0.5,0.5,0.5,0.5,0.5,1.46,4.75
initial_density,1000,10,10,10000,1000,10000,1000,1000
pref_theta,0,0.01,0.01,0.1,0.01,0.1,0,0
pref_sigma,0,100,1,10,1,10,0,0
pref_CN_sigma,0,100,100,100,100,100,0,0
fresh_to_dry,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
dry_to_C,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
epsilon,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
hill,0,0,0,0,0,0,0,0
R0,683163463836.704,635549158.719874,635549158.719874,4378622438.02895,4378622438.02895,4378622438.02895,683163463836.704,683163463836.704
s_R,-0.14,-0.35,-0.35,-0.3,-0.3,-0.3,-0.14,-0.14
E_R,0.75,0.63,0.63,0.64,0.64,0.64,0.75,0.75
mu0,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552
s_mu,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26
E_mu,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
D0,1,0,0,0,0,0,1,1
s_D,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49
E_D,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
c0,0,1778279.41003892,1778279.41003892,316227.766016838,1778279.41003892,316227.766016838,0,0
s_c,0,-0.3,-0.3,-0.3,-0.3,-0.3,0,0
E_c,0,0.43,0.43,0.43,0.43,0.43,0,0
a_a,0,1,1,1,1,1,0,0
a0,0,467000,467000,467000,467000,467000,0,0
s_a,0,-0.49,-0.49,-0.49,-0.49,-0.49,0,0
E_a,0,0.43,0.43,0.43,0.43,0.43,0,0
a_h,0,1,1,0.1,1,0.1,0,0
h0,0,0.00000722,0.00000722,0.00000722,0.00000722,0.00000722,0,0
s_h,0,0.24,0.24,0.24,0.24,0.24,0,0
E_h,0,-0.31,-0.31,-0.31,-0.31,-0.31,0,0
K0_N,0.0000013,0,0,0,0,0,0.0000013,0.0000013
K0_DOC,0.000011,0,0,0,0,0,0.000011,0.000011
K0_FOM,0.0032,0,0,0,0,0,0.0032,0.0032
K0_SOM,0.0032,0,0,0,0,0,0.0032,0.0032
phi0_N,0.0000000122,0,0,0,0,0,0.0000000122,0.0000000122
phi0_DOC,0.0000000708,0,0,0,0,0,0.0000000708,0.0000000708
phi0_FOM,8.87E-11,0,0,0,0,0,8.87E-11,8.87E-11
phi0_SOM,3.03E-10,0,0,0,0,0,3.03E-10,3.03E-10
s_K_N,0.034,0,0,0,0,0,0.034,0.034
s_K_DOC,0.034,0,0,0,0,0,0.034,0.034
s_K_FOM,0.034,0,0,0,0,0,0.034,0.034
s_K_SOM,0.034,0,0,0,0,0,0.034,0.034
s_phi_N,0.063,0,0,0,0,0,0.063,0.063
s_phi_DOC,0.063,0,0,0,0,0,0.063,0.063
s_phi_FOM,0.063,0,0,0,0,0,0.063,0.063
s_phi_SOM,0.063,0,0,0,0,0,0.063,0.063
a_K_N,0.01,0,0,0,0,0,1,1
a_K_DOC,0.01,0,0,0,0,0,1,1
a_K_FOM,0.001,0,0,0,0,0,0.001,0.001
a_K_SOM,0.001,0,0,0,0,0,0.001,0.001
a_phi_N,1,0,0,0,0,0,1,1
a_phi_DOC,10,0,0,0,0,0,10,1
a_phi_FOM,1000,0,0,0,0,0,10,200
a_phi_SOM,10,0,0,0,0,0,10,100
Q,24,0,0,0,0,0,24,24
Q_asy,0.01,0,0,0,0,0,0.01,0.01
radius_available,10,0,0,0,0,0,10,100000
